Event,Group,Date (AD Year),SCA Year,Location,Address,City,Zip Code,Autocrat,Toilets,Potable Water,Showers,Camping Availability (Sq Ft),Feast Hall,Equestrian,Archery Allowed,War Field,12th Night,Site Contact,Parking Issues,Site Costs,Attendance,Site Issues,Other Information
Purgatorio Coronation Festival ,Kingdom of the West,7/31/1971,6,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
Crown Tourney ,Kingdom of the West,10/16/1971,6,Coyote Creek Park,985 Hellyer Ave.,San Jose,95111,,,,,,,,,,,,,,,,
Twelfth Night,Kingdom of the West,1/8/1972,6,First Unitarian Church of Berkeley,1 Lawson Road,Berkeley,94707,,,,,,,,,,,,,,,,
Crown Tourney ,Kingdom of the West,3/26/1972,6,Coyote Creek Park,985 Hellyer Ave.,San Jose,95111,,,,,,,,,,,,,,,,
Beltane Coronation,Kingdom of the West,5/6/1972,7,Briones Regional Park,2537 Reliez Valley Road,Martinez,94553,,,,,,,,,,,,,,,,
First Provincial Festival ,Province of the Mists ,5/20/1972,7,Tilden Regional Park - Amphitheater Playfield,2501 Grizzly Peak Blvd,Berkeley,94708,,,,,,,,,,,,,,,,
The Royal Birthday Party ,Kingdom of the West,6/3/1972,7,Roberts Recreational Area - Redwood bowl,10570 Skyline Blvd,Oakland,94619,,,,,,,,,,,,,,,,
Medieval Films and Artwork Night,Shire of Cloondara,6/10/1972,7,Rose and Thistle Inn,California Street,San Francisco,,,,,,,,,,,,,,,,,
Crown Tourney ,Kingdom of the West,6/17/1972,7,Coyote Creek Park,985 Hellyer Ave.,San Jose,95111,,,,,,,,,,,,,,,,
First Bardic Revel,Shire of Cloondara,7/15/1972,7,Rose and Thistle Inn,California Street,San Francisco,,,,,,,,,,,,,,,,,
Sixth Island War,Shire of Caldarium,7/22/1972,7,Nicasio Reservoir,Nicasio Valley Road,Marin,94946,Henrik of Havn,,,,,,,,,,,,,,,
Purgatorio Coronation,Kingdom of the West,7/29/1972,7,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
Second Provincial Festival,Province of the Mists,8/12/1972,7,Tilden Regional Park - Meadow Playfield,2501 Grizzly Peak Blvd,Berkeley,94708,,,,,,,,,,,,,,,,
Crown Tourney ,Kingdom of the West,10/22/1972,7,Coyote Creek Park,985 Hellyer Ave.,San Jose,95111,,,,,,,,,,,,,,,,
Winter Revel ,Shire of Cloondara,12/1/1972,7,California State University at San Francisco,Gym 217/218,San Francisco,94132,,,,,,,,,,,,,,,,
Twelfth Night ,Kingdom of the West,1/6/1973,7,First Unitarian Church of Berkeley,1 Lawson Road,Berkeley,94707,,,,,,,,,,,,,,,,
Bardic Revel,Province of the Mists,2/10/1973,7,Almarin,,Oakland,,,,,,,,,,,,,,,,,
St. Valentine's Day Revel,Province of the Mists,2/17/1973,7,All Souls' Episcopal Church,2220 Cedar St.,Berkeley,94709,Andre de Sevastopol,,,,,,,,,,,,,,,
Archery Tourney,Province of the Mists,3/11/1973,7,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Michaëla de Nueville,,,,,,,,,,,,,,,
Bardic Revel,Province of the Mists,3/17/1973,7,Greyhaven,,Berkeley,,,,,,,,,,,,,,,,,
International House Revel,Province of the Mists,3/31/1973,7,"International House, U.C. Berkeley",2299 Piedmont Avenue,Berkeley,94720,Sabrina de la Bere,,,,,,,,,,,,,,,
Bardic Revel,Province of the Mists,4/21/1973,7,AOA House,,Berkeley,,Marisela of Muninsgaard,,,,,,,,,,,,,,,
Beowulf Reading,Province of the Mists,4/28/1973,7,Rivengaard,,Berkeley,,,,,,,,,,,,,,,,,
Beltane Coronation,Kingdom of the West,5/9/1973,8,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
May Revel,Province of Golden Rivers,5/12/1973,8,Gadbury's Farm,,Lodi,,,,,,,,,,,,,,,,,
First Provincial Tourney,Province of Southern Shores,5/19/1973,8,Linda Vista Park,Linda Vista Dr. near Columbus,Cupertino,95014,Karyn of Wolfheim,,,,,,,,,,,,,,,
Spring Festival,Province of the Mists,6/2/1973,8,Chabot College,25555 Hesperian Boulevard,Hayward,94545,,,,,,,,,,,,,,,,
Seventh Island War,Shire of Caldarium,7/21/1973,8,Island in the Nicasio Reservoir,Nicasio Valley Road,Marin,94946,,,,,,,,,,,,,,,,
Purgatorio Coronation,Kingdom of the West,7/28/1973,8,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,Paul the Barbarian,,,,X,,,,,,,,,,,
Summer Festival,Province of the Mists,8/11/1973,8,Joaquin Miller Park - Redwood Bowl,3594 Sanborn Drive,Oakland,94602,,,,,,,,,,,,,,,,
First Annual Sciences Sandcastle Contest,Province of the Mists,10/20/1973,8,Alameda Memorial State Beach,,Alameda,94501,,,,,,,,,,,,,,,,
Prize Tourney,Province of the Mists,10/21/1973,8,Junipero Serra Park,1801 Crystal Springs Road,San Bruno,94066,"Paul of Bellatrix, Sten av Norden, Geraldine of Toadhall",,,,,,,,,,,,,,,
All Hallowsmass Eve Revel,Province of Golden Rivers,10/27/1973,8,Ancil Hoffman Park,6700 Tarshes Dr.,Carmichael,95608,Lady Diana,,,,,,,,,,,,,,,
All Hallows Eve Revel,Province of the Mists,11/3/1973,8,All Souls' Episcopal Church,2220 Cedar St.,Berkeley,94709,"Andrei de Sevastopol, Lady Gormflait ni Cuallachta, Lady Sheen of Ire ",,,,,,,,,,,,,,,
Dukes' Dinner Page Benefit,Province of the Mists,11/10/1973,8,Hillside Club,2286 Cedar St.,Berkeley,94709,"Adrienne of Toledo, Karina of the Far West, Dorothea of Paravel ",,,,,,,,,,,,,,,
Queen's Tea,Province of the Mists,11/18/1973,8,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,,,,,,,,,,,,,,,,
International House Revel,Province of the Mists,12/1/1973,8,"International House, U.C. Berkeley",2299 Piedmont Avenue,Berkeley,94720,Sabrina de la Bere,,,,,,,,,,,,,,,
Twelfth Night,Kingdom of the West,1/5/1974,8,The First Uniterian Church of Berkeley,2401 Bancroft Way,Berkeley,94704,Steven MacEanruig,,,,,,,,,,,,,,,
SCA Demonstration,Province of the Mists,1/17/1974,8,"Agricultural Women's Club of the University of California, Berkeley",,Berkeley,,Rima of Rockridge and Sir William the Lucky,,,,,,,,,,,,,,,
Bardic Revel,Province of the Mists,1/26/1974,8,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Maelen of Kynge's Lea,,,,,,,,,,,,,,,
Annual Parish Meeting Demonstration,Province of Golden Rivers,1/27/1974,8,St. Paul's Episcopal Church,1430 J Street,Sacramento,95814,,,,,,,,,,,,,,,,
Sunday in the Middle Ages,Province of the Mists,2/3/1974,8,The First Uniterian Church of Berkeley,2401 Bancroft Way,Berkeley,94704,,,,,,,,,,,,,,,,
Feast of Three Tastes,Province of the Mists,3/10/1974,8,The First Uniterian Church of Berkeley,2401 Bancroft Way,Berkeley,94704,,,,,,,,,,,,,,,,
Chaos Tourney,Province of the Mists,3/16/1974,8,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,County Stefan de Lorraine and Duke Paul of Bellatrix,,,,,,,,,,,,,,,
St. Patrick's Day Revel,Province of the Mists,3/16/1974,8,Good Shepherd Church,1823 9th Street,Berkeley,94710,Andrei de Sevastopol and Gormflait ni Cuallachta,,,,,,,,,,,,,,,
Spring Crown Tourney ,Kingdom of the West,3/30/1974,8,Alameda Memorial State Beach,,Alameda,94501,,,,,,,,,,,,,,,,
Spring Prize Tourney and Revel,Province of Southern Shores,4/6/1974,8,"Sylvandale Picnic Area, Coyote Creek Park",985 Hellyer Ave.,San Jose,95111,Duke Paul of Bellatrix,,,,,,,,,,,,,,,
First Annual College of Sciences Quest,Province of the Mists,4/13/1974,8,Joaquin Miller Park - Redwood Bowl,3594 Sanborn Drive,Oakland,94602,Brian Dritar an Con,,,,,,,,,,,,,,,
First Baronial Practice Tourney and Revel,Province of Golden Rivers,4/21/1974,8,McKinley Park,601 Alhambra Boulevard,Sacramento,95816,Rodrigo de Cerdaña,,,,,,,,,,,,,,,
Beltane,Kingdom of the West,5/4/1974,9,Briones Regional Park,2537 Reliez Valley Road,Martinez,94553,,,,,,,,,,,,,,,,
Welcoming Tourney,Province of the Mists,6/15/1974,9,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,,,,,,,,,,,,,,,,
Midsummer Crown Tourney ,Kingdom of the West,6/22/1974,9,Kennedy Grove Park,6531 San Pablo Dam Road,El Sobrante,94803,,,,,,,,,,,,,,,,
Curia Regis,Province of the Mists,6/23/1974,9,Kensington Youth Hut,1 Kensington Park Rd,Kensington,94706,,,,,,,,,,,,,,,,
Daytime Invitational Revel,Province of Golden Rivers,6/29/1974,9,Ancil Hoffman Park,6700 Tarshes Dr.,Carmichael,95608,Rand of Dunbar,,,,,,,,,,,,,,,
Eighth Island War,Province of Ceantyre,7/8/1974,9,Nicasio Reservoir,Nicasio Valley Road,Marin,94946,Henrik of Havn,,,,,,,,,,,,,,,
Purgatorio Coronation Festival ,Kingdom of the West,8/3/1974,9,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
First Tourney,Shire of Montalinas,8/10/1974,9,Lover's Point,630 Ocean View Boulevard,Monterey,93950,Garryl Harper Flaming Sword,,,,,,,,,,,,,,,
Baron's Birthday Revel,Province of Golden Rivers,8/18/1974,9,Ancil Hoffman Park,6700 Tarshes Dr.,Carmichael,95608,Gerald and Josette du Chantecleer,,,,,,,,,,,,,,,
Autumn Corwn Tourney ,Kingdom of the West,9/21/1974,9,Kennedy Grove Park,6531 San Pablo Dam Road,El Sobrante,94803,,,,,,,,,,,,,,,,
Fall Festival and Halloween Revel,Province of the Mists,10/26/1974,9,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,,,,,,,,,,,,,,,,
Second Annual Duke's Dinner,Province of the Mists,11/10/1974,9,"International House, U.C. Berkeley",2299 Piedmont Avenue,Berkeley,94720,Adrienne of Toledo,,,,,,,,,,,,,,,
Second Baronial Anniversary Banquet,Province of Golden Rivers,11/30/1974,9,U.C. Davis - Putah Creek Lodge,Putah Creek Lodge Road,Davis,95616,Patrice du Couer Fidel and Megan of Thistledown,,,,,,,,,,,,,,,
St. Nicholas' Day Bardic Revel,Province of the Mists,12/6/1974,9,Kensington Youth Hut,1 Kensington Park Rd,Kensington,94706,Steven MacEanruig,,,,,,,,,,,,,,,
Yuletide Meeting of Kindred Spirits,Barony of Allyshia,12/14/1974,9,Eureka Senior High School,1915 J Street,Eureka,95501,,,,,,,,,,,,,,,,
Twelfth Night,Kingdom of the West,1/4/1975,9,The First Uniterian Church of Berkeley,2401 Bancroft Way,Berkeley,94704,,,,,,,,,,,,,,,,
St. Hildegarde Bardic Revel,Province of the Mists,1/19/1975,9,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Michaela de Neuville and Kerrinda of Kymry,,,,,,,,,,,,,,,
St. Valentine's Day Tourney,Shire of Montalinas,2/15/1975,9,Monterey Fairgrounds,2004 Fairground Road,Monterey,93940,Robert of Riaat and Gabriel of Glengary,,,,,,,,,,,,,,,
St. Valentine's Day Revel,Province of the Mists,2/15/1975,9,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Andrei de Sevastapol and Gormflait ne Cuallachta,,,,,,,,,,,,,,,
"The ""Kick Off the Season"" Tourney",Province of the Mists,3/1/1975,9,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,,,,,,,,,,,,,,,,
Spring Crown Tourney ,Kingdom of the West,3/22/1975,9,Coyote Creek Park,985 Hellyer Ave.,San Jose,95111,,,,,,,,,,,,,,,,
Archery and Games Tourney,Province of the Mists,4/5/1975,9,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Aurelia de la Licorne,,,,,,,,,,,,,,,
Royal Tourney and International House Revel,Province of the Mists,4/12/1975,9,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,John Fitz-Rolf and Sabrina de la Bere,,,,X,,,,,,,,,,,
Kite Flying Contest,Province of Ceantyre,4/27/1975,9,Nicasio Reservoir,Nicasio Valley Road,Marin,94946,Henrik of Havn,,,,,,,,,,,,,,,
Beltane,Kingdom of the West,5/3/1975,10,Coyote Hills Park,8000 Patterson Ranch Road,Fremont,94555,,,,,,,,,,,,,,,,
Provincial Festival and Children's Tourney,Province of the Mists,5/31/1975,10,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,"Michaela de Neuville, Andrei de Sevastopol and Gormflait ni Cuallachta",,,,,,,,,,,,,,,
Midsummer Crown Tourney ,Kingdom of the West,6/21/1975,10,Briones Regional Park,2537 Reliez Valley Road,Martinez,94553,,,,,,,,,,,,,,,,
Shasta Invasion,Barony of Allyshia,7/13/1975,10,Freshwater Elementary School,75 Greenwood Heights Dr.,Eureka,95503,,,,,,,,,,,,,,,,
Summer Revel,Province of Golden Rivers,7/13/1975,10,"Alumni Grove, California State University, Sacramento",State University Dr.,Sacramento,95826,Josette du Chantecleer and Peter la Savage,,,,,,,,,,,,,,,
Equestrian Arts Tourney,Province of the Mists,7/19/1975,10,Briones Regional Park,2537 Reliez Valley Road,Martinez,94553,,,,,,,,,,,,,,,,
Arabian Nights Feast,Province of the Mists,7/26/1975,10,Pacific School of Religion - General Theological Seminary,1798 Scenic Avenue,Berkeley,94709,Adrienne of Toledo,,,,,,,,,,,,,,,
Ninth Island War,Province of Ceantyre,7/27/1975,10,Nicasio Reservoir,Nicasio Valley Road,Marin,94946,Henrik of Havn,,,,,,,,,,,,,,,
Purgatorio Coronation,Kingdom of the West,8/2/1975,10,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
First Annual Ducal Prize Tournament,Province of Southern Shores,8/10/1975,10,Coyote Creek Park,985 Hellyer Ave.,San Jose,95111,Duke Paul of Bellatrix and Duke James Greyhelm,,,,,,,,,,,,,,,
Three Day Revel,Province of Golden Rivers,8/30/1975,10,Negro Bar Area,Folsom-Auburn Road,Folsom Lake,95630,Kevin Peregrynne,,,,,,,,,,,,,,,
Fall Tourney,Province of Shasta,9/6/1975,10,Salt Creek Park,19194 Lower Salt Creek Road,Lakehead,96051,Gonwynnlynn of Hrassvelg,,,,,,,,,,,,,,,
Fall Crown Tourney,Kingdom of the West,9/27/1975,10,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
Second Annual Sciences Quest,Province of Ceantyre,10/5/1975,10,"Mt. Tamalpais Park, Rock Springs Picnic Area",Ridge Ave.,Mill Valley,94941,Brian Dritar an Con,,,,,,,,,,,,,,,
Boffer- Archery War,Province of the Mists,10/18/1975,10,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Aurelia de la Licorne,,,,,,,,,,,,,,,
First Annual Tourney,Province of St. Andrew's,10/25/1975,10,Junipero Serra Park,1801 Crystal Springs Road,San Bruno,94066,Debreceni Ilona and Stephen von Behrend,,,,,,,,,,,,,,,
Provincial Festival and Halloween Revel,Province of the Mists,11/1/1975,10,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,Gormflait ni Cuallachta,,,,,,,,,,,,,,,
Potluck Feast and Revel,College of Saint David's,11/22/1975,10,UC Santa Cruz - Senior Commons of Crown College,1156 High Street,Santa Cruz,95064,Joanna de Lisane,,,,,,,,,,,,,,,
Third Anniversary Banquet,Province of Golden Rivers,11/29/1975,10,Town and Country Club,,Woodland,,Stone and Kriemhild of Stonecroft,,,,,,,,,,,,,,,
Mythopoeic Society Yulemoot,Province of Golden Rivers,12/20/1975,10,Bethany Presbyterian Church,5625 24th Street,Sacramento,95822,,,,,,,,,,,,,,,,
St. Valentine's Day Revel,Province of the Mists,2/14/1976,10,Mills College - Student Union,5000 MacArthur Blvd. ,Oakland,94613,Gormflait ni Cuallachta,,,,,,,,,,,,,,,
Land Fund Theater Benefit,Province of the Mists,2/15/1976,10,The First Unitarian Church of Berkeley,2401 Bancroft Way,Berkeley,94704,Verena of Laurelin and Adrienne of Toledo,,,,,,,,,,,,,,,
First Tourney and Revel,College of Saint David's,2/28/1976,10,UC Santa Cruz - Senior Commons of Crown College,1156 High Street,Santa Cruz,95064,Yaegar Brokenenose and Joanna de Paquerette,,,,,,,,,,,,,,,
Bashing Party,Province of the Mists,3/13/1976,10,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,Gormflait ni Cuallachta and Micaela de Neuville,,,,,,,,,,,,,,,
Spring Crown Tourney ,Kingdom of the West,3/20/1976,10,Coyote Creek Park,985 Hellyer Ave.,San Jose,95111,,,,,,,,,,,,,,,,
Potluck Feast and Revel,Barony of Allyshia,4/10/1976,10,Cooper Gulch Hall,1720 10th Street,Eureka,95501,Meaelgwyn and Merewyn de Lyonesse,,,,,,,,,,,,,,,
First College of St. Katherine Revel,College of Saint Katherine's,4/24/1976,10,U.C. Berkeley Campus,University Drive,Berkeley,94720,Patrice d'Cilla and Cristina Giuliana dell 'Onda,,,,,,,,,,,,,,,
April Tourney and Revel,Province of Golden Rivers,4/24/1976,10,Mount View Park,,Sacramento,,Angels and Donald of the Northern Fells,,,,,,,,,,,,,,,
Beltane,Kingdom of the West,5/1/1976,11,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
Tourney and Festival,Province of Southern Shores,5/9/1976,11,Stanford University - Oval Area,,Palo Alto,94305,,,,,,,,,,,,,,,,
Spring Tourney,Province of the Mists,6/5/1976,11,Tilden Regional Park - Meadow Playfield,2501 Grizzly Peak Blvd,Berkeley,94708,,,,,,,,,,,,,,,,
Equestrian Tourney,Province of Southern Shores,6/19/1976,11,Ed Levin County Park,3100 Calaveras Road,Milpitas,95035,William of Troy and Kathryn of Tryon,,,,,,,,,,,,,,,
Crown Tourney,Kingdom of the West,6/19/1976,11,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
Vikingsholm Tourney ,Province of Silver Desert,6/26/1976,11,"Sugar Pine Point Park, Near Emerald Bay",Hwy 89,Tahoma,96412,,,,,,,,,,,,,,,,
Medieval Games Tournament,Province of Golden Rivers,7/17/1976,11,Cottage Park,2201 Cottage Way,Sacramento,95825,Elena du Dois and Phillppe Sinister,,,,,,,,,,,,,,,
Tenth Island War,Province of Ceantyre,7/24/1976,11,Nicasio Reservoir,Nicasio Valley Road,Marin,94946,Henrik of Havn,,,,,,,,,,,,,,,
Purgatorio Coronation,Kingdom of the West,7/31/1976,11,Frontierland Park,1810 Francisco Blvd,Pacifica,94044,,,,,,,,,,,,,,,,
Summer Tourney,Barony of Allyshia,8/21/1976,11,Freshwater Elementary School,75 Greenwood Heights Dr.,Eureka,95503,,,,,,,,,,,,,,,,
Autumn Crown Tourney ,Kingdom of the West,9/18/1976,11,Big Trees - Bort Meadows,7867 Redwood Rd,Oakland,94619,,,,,X,,,,,,,,,,,
Living War Game,Shire of the Great Oak,10/9/1976,11,Bidwell Park,Old Chico Canyon Road,Chico,95928,Darthnar,,,,,,,,,,,,,,,
Third Anniversary Tourney,Province of St. Andrew's,10/16/1976,11,Stern Grove,19th Ave. and Sloat,San Francisco,94132,,,,,,,,,,,,,,,,
Damsel in Distress Tourney and Viking Harvest Festival,Shire of the Great Oak,10/23/1976,11,Bidwell Park,Old Chico Canyon Road,Chico,95928,Darthnar,,,,,,,,,,,,,,,
"Second Session, University of Ithra",Province of St. Andrew's,10/23/1976,11,College of San Mateo,1700 West Hillsdale Blvd,San Mateo,94402,Carol of Bellatrix,,,,,,,,,,,,,,,
Fall Festival and Halloween Revel,Province of the Mists,10/30/1976,11,Tilden Regional Park,2501 Grizzly Peak Blvd,Berkeley,94708,Gormflait ni Cuallachta and Micaela de Neuville And Patrice d. Cilla,,,,,,,,,,,,,,,
